fiss_density_watersheds_id,elev_min,elev_max,elev_mean,elev_percentile_60
11144,926,1115,979.1106850270176,976
10082,775,1352,1135.7602391966602,1181
10083,1680,2277,2050.5041736227045,2099
10087,883,1445,1090.0644055162131,1104
10088,1174,1671,1399.4127317676143,1434
10089,593,2297,1168.5219506759768,1221
10092,464,1640,1036.7564287778098,1175
10093,1179,1736,1394.2738707833048,1444
10097,525,1012,811.4880755608028,902
10094,675,1976,1432.344508880029,1580
10095,707,839,761.217171301629,772
10099,680,1730,892.6641577991176,828
10134,939,1141,1033.8105422701246,1051
10100,1243,2227,1754.5249576566703,1820
10140,884,969,930.2852153667054,933
10101,747,2024,1396.7416159401112,1498
10102,827,1319,1059.8420062695925,1097
10168,883,1997,1307.095238095238,1361
10105,9,1155,416.3054974888014,432
10106,1658,2051,1845.2458471760797,1853
10107,973,2303,1605.1190446101352,1711
10145,757,1173,858.24530471445,839
10109,821,1021,915.2809134553004,935
10115,240,1297,610.3381626605202,613
10110,272,1566,1089.5714857829396,1211
10119,912,1072,991.0489494343108,998
10113,1132,1398,1239.9079348258047,1249
10118,1576,1950,1787.968667255075,1821
10170,913,1018,971.1285714285714,979
10114,615,1865,1445.0116692458907,1547
10116,1701,2475,2081.581578429443,2119
10117,1403,1934,1671.2050805452293,1725.8
11145,1447,1709,1578.6622073578596,1600
10121,810,1735,1106.8583448356876,1116
10125,1116,2099,1527.7871445956412,1579
10126,832,1793,1375.5543712227834,1435
10127,1583,2856,2201.078956770275,2287
10146,578,1436,1132.6429308565532,1255
10128,1004,1893,1606.9612403100775,1699.7999999999997
10152,806,1096,949.595399188092,976
10130,1092,1530,1289.902687385171,1316
10153,818,870,840.1267605633802,846
10131,784,895,839.7897476032088,844
10171,999,1203,1074.1448509996228,1075
10132,981,1823,1404.1427321882952,1453
10133,532,921,779.4941084053418,806
10135,1129,2607,1949.7655846202333,2105
10156,991,1269,1132.8519972519384,1149
10136,962,1258,1097.3436494659632,1115
10137,754,1737,1155.0581211161204,1177
10139,1912,2766,2341.978221415608,2416
10143,985,2675,1880.1423550087873,2020.7999999999997
10144,334,1751,1150.5065502183406,1286.2
10147,109,1343,641.793982730707,727
10172,1489,1659,1636.6422018348624,1652
10149,708,2188,1526.2729024488158,1637
10160,1048,1561,1275.9369223285228,1304
10150,947,1421,1101.2525879917184,1096
10151,143,1309,637.8314657104437,774
10154,1329,1855,1505.7018570338337,1523
10155,374,411,394.7837837837838,399
10157,1880,2684,2154.4121973643887,2138
10161,753,914,857.6054210175516,878
10158,1170,1911,1563.766506520247,1557
10159,114,272,191.14573268921094,197
10163,394,1621,1028.223013009368,1100
10166,542,644,608.4346031746031,626
10167,11,729,357.48808240507844,414
10174,1106,1871,1490.5719535499045,1551
10192,1342,1945,1684.044825677919,1735
10176,450,2604,1638.7206442818594,1844
10179,1134,1362,1181.7553950365664,1173
10180,1103,1371,1212.816440394272,1214
10182,8,1177,508.5241495170097,521
10190,256,427,335.76281494352736,347
10183,1050,2012,1574.7662965160634,1621
10184,3,99,29.82475355969332,32
10185,805,2384,1628.965596099999,1736
10677,819,1063,899.3717135086129,902.8
10186,282,1285,917.1843337004406,993
10187,1103,1827,1502.9086468001954,1562
10193,845,1890,1342.0794326241135,1393
10194,728,862,769.0500378501135,772
10197,542,617,578.1088160136286,589
10198,1040,2005,1312.728209191759,1314
10199,231,549,370.12093862815885,380.8
10201,948,1253,1036.1524477526482,1033
10206,339,1418,777.7989280023178,809
10200,1043,1086,1060.2279490977646,1062
10203,843,951,911.1937286875368,922
10205,716,881,785.913643533123,790
10204,1025,1634,1294.628324502736,1333
10209,669,765,702.3940665268206,704
10212,1702,2218,1975.4722327162826,2011
10207,10,300,139.86130867709815,157
10208,282,1234,635.4951871657754,638.4
10210,1402,2223,1832.8214868674877,1873
10211,1238,1655,1430.9892941389946,1457
10216,1168,2053,1599.2748977532267,1662
10218,892,1139,981.949785670545,992
10220,354,1746,1166.0750097162845,1310
10223,1001,1093,1036.6851983002832,1039
10224,924,1360,1075.5136293502485,1083
